customer_id,first_name,last_name,email,phone_number,address,city,state,postal_code,country,birthday,loyalty_points,favorite_bakery_item,last_purchase_date,total_spent
1,Pansy,Vedstra,pvedstra0@tinypic.com,709-136-3310,769 Morrow Junction,Xingyi,,,China,12/29/1956,783,croissant,2/6/2021,2464.21
2,Gilligan,Kharchinski,gkharchinski1@dailymail.co.uk,523-999-4760,87 Oak Point,Wushan,,,China,2/20/1925,372,croissant,3/3/2021,3545.72
3,Darwin,Toghill,dtoghill2@naver.com,585-433-6654,1 Bayside Terrace,Gastoúni,,,Greece,7/29/1963,192,baguette,11/27/2021,3150.01
4,Brier,Brennand,bbrennand3@shop-pro.jp,535-359-6382,472 Redwing Lane,Jarabacoa,,10801,Dominican Republic,11/19/1994,607,croissant,7/2/2021,6017.93
5,Florinda,Littlewood,flittlewood4@example.com,937-760-9480,9 Arizona Park,Atami,,413-0033,Japan,1/31/1977,340,macaron,1/23/2021,3454.76
6,Joice,Tome,jtome5@ibm.com,715-463-9593,5 Kings Point,Lazeshchyna,,,Ukraine,4/2/1975,968,baguette,3/10/2020,2906.8
7,Beryle,Dockerty,bdockerty6@narod.ru,827-861-2508,244 Wayridge Parkway,Ol Kalou,,,Kenya,10/12/1995,935,croissant,7/13/2021,9883.07
8,Kate,Goodson,kgoodson7@hibu.com,244-885-7197,47166 Evergreen Terrace,Tabant,,,Morocco,11/26/1993,523,baguette,2/3/2020,6996.45
9,Royal,Marr,rmarr8@php.net,904-973-7894,5734 Sheridan Crossing,Same,,,East Timor,8/27/1900,351,baguette,4/15/2021,2456.54
10,Karlik,Choulerton,kchoulerton9@php.net,276-177-1864,373 Graceland Place,Hanshou,,,China,8/16/1919,336,baguette,1/3/2020,2034.8
11,Norean,Cheetam,ncheetama@army.mil,599-758-1355,27309 Elgar Center,Sulyukta,,,Kyrgyzstan,7/30/2001,29,croissant,3/29/2021,823.07
12,Corissa,Kollach,ckollachb@cargocollective.com,785-412-7769,89 Columbus Lane,Bilqās,,,Egypt,3/23/1907,960,macaron,8/14/2020,804.82
13,Ingaborg,Weight,iweightc@google.ca,164-986-3221,805 Lakewood Gardens Park,Ágios Geórgios,,,Greece,8/13/1929,517,macaron,12/17/2021,9974.09
14,Janetta,Littley,jlittleyd@prnewswire.com,656-265-4381,5 Summerview Court,Ban Chang,,21130,Thailand,2/27/1925,927,croissant,8/27/2021,8993.44
15,Issiah,Broggelli,ibroggellie@wikimedia.org,164-710-9037,0396 Summit Road,Independencia,Coahuila De Zaragoza,26830,Mexico,5/15/1926,966,baguette,5/14/2021,4240.67
16,Sheff,Cardillo,scardillof@webs.com,615-212-1909,9425 Sunfield Drive,Chenjiahe,,,China,5/23/1975,800,baguette,10/22/2021,9668.57
17,Grace,Murfill,gmurfillg@ameblo.jp,757-718-1380,902 Colorado Court,Králův Dvůr,,267 01,Czech Republic,7/11/1915,594,macaron,5/18/2020,7303.32
18,Simone,Stothert,sstotherth@ucoz.com,113-702-0399,239 Messerschmidt Park,Zolotonosha,,,Ukraine,11/9/1903,913,baguette,6/19/2021,2252.38
19,Doy,Kinneally,dkinneallyi@reference.com,822-434-9632,36487 Mcguire Crossing,Jingyang,,,China,6/23/1945,811,croissant,11/24/2021,7277.32
20,Gabbie,Dunniom,gdunniomj@elegantthemes.com,138-496-5783,1 Spaight Point,Komsomol’skiy,,249716,Russia,8/12/1932,404,baguette,2/20/2021,2426.62
21,Quillan,Handy,qhandyk@nasa.gov,882-796-5631,97 Northwestern Terrace,Wonotirto,,,Indonesia,3/31/1949,919,baguette,11/21/2020,4100.51
22,Stefa,Suckling,ssucklingl@bbb.org,225-954-3207,94705 Ridgeview Street,Nianba,,,China,2/17/1924,230,baguette,8/20/2020,5596.03
23,Storm,Organer,sorganerm@upenn.edu,265-882-3623,51755 Hovde Court,Jiangzhang,,,China,1/3/1920,835,croissant,12/30/2021,1245.81
24,Sayer,Lucks,slucksn@reference.com,435-760-4082,568 Anthes Alley,Bamiantong,,,China,10/7/1970,546,macaron,10/11/2021,6677.61
25,Rozina,Braxay,rbraxayo@whitehouse.gov,589-874-5586,02 Brentwood Alley,Barajevo,,,Serbia,5/20/1982,604,croissant,2/8/2021,8742.66
26,Graig,Rockwell,grockwellp@facebook.com,297-224-9681,5 Bashford Parkway,Panognawan,,2822,Philippines,6/14/1924,479,macaron,10/10/2021,9998.44
27,Karie,Gratrix,kgratrixq@techcrunch.com,337-745-3297,689 Mifflin Drive,Shankeng,,,China,6/3/2000,846,baguette,12/18/2020,1118.65
28,Lucilia,Hewins,lhewinsr@ustream.tv,857-949-4688,85415 Red Cloud Pass,Chivhu,,,Zimbabwe,7/7/1918,823,macaron,6/9/2020,9608.86
29,Aksel,Boyd,aboyds@europa.eu,715-279-6538,2 Veith Way,Mosquée,,,Morocco,12/9/1989,152,croissant,3/28/2020,8931.29
30,Merilee,Branchet,mbranchett@ycombinator.com,173-933-4556,42 Maple Wood Trail,Bamban,,2317,Philippines,8/16/1905,893,macaron,5/11/2021,1210.87
31,Addison,Vasyuchov,avasyuchovu@springer.com,172-286-5935,67015 Cottonwood Terrace,Yemva,,169205,Russia,5/21/1945,708,croissant,10/29/2021,7278.9
32,Penn,Skouling,pskoulingv@google.it,933-643-4438,3 Rigney Junction,Liujiagou,,,China,7/11/1942,815,croissant,12/26/2021,7270.92
33,Erie,Tree,etreew@reference.com,530-177-0732,47313 Sutherland Trail,Jalapa,,,Nicaragua,10/22/1957,393,macaron,3/25/2021,6105.15
34,Luis,Dunaway,ldunawayx@marriott.com,583-358-3899,8051 Lyons Lane,Suchań,,73-132,Poland,2/4/1911,925,croissant,3/17/2021,5267.69
35,Culley,Edbrooke,cedbrookey@imdb.com,267-502-7737,3 Meadow Valley Terrace,La Rochelle,Poitou-Charentes,17044 CEDEX 1,France,8/10/1995,335,baguette,6/15/2020,1786.02
36,Laird,Philpin,lphilpinz@scribd.com,489-217-5336,62711 Reinke Plaza,Évry,Île-de-France,91982 CEDEX 9,France,1/15/1962,37,croissant,8/7/2021,8601.44
37,Philipa,Tipper,ptipper10@discovery.com,976-223-9995,4 Doe Crossing Avenue,Stopnica,,28-130,Poland,6/27/1915,660,croissant,6/27/2020,1127.48
38,Gino,Gerauld,ggerauld11@forbes.com,279-574-6500,4 Onsgard Hill,Independencia,Tamaulipas,89759,Mexico,10/19/1933,38,macaron,8/8/2021,8051.07
39,Jojo,Guittet,jguittet12@tmall.com,314-185-1309,8674 Cody Plaza,Kuala Lumpur,Kuala Lumpur,50700,Malaysia,4/16/1928,26,croissant,6/28/2021,4746.62
40,Faye,McGrail,fmcgrail13@mysql.com,672-602-3397,5163 Iowa Park,Chuanshan,,,China,9/20/1915,71,baguette,2/11/2020,5360.96
41,Sunny,Hoxey,shoxey14@newyorker.com,880-747-8883,8224 Monica Terrace,Shiziling,,,China,4/15/1971,128,baguette,3/21/2020,8855.12
42,Denver,Tomovic,dtomovic15@narod.ru,592-954-4044,792 La Follette Drive,Chemodanovka,,442965,Russia,1/19/1949,964,baguette,4/12/2020,8125.69
43,Massimiliano,Munday,mmunday16@shutterfly.com,882-200-6526,135 Sheridan Street,Pitanga,,85200-000,Brazil,12/27/1915,724,croissant,4/27/2020,2307.98
44,Sabina,Enos,senos17@paginegialle.it,956-300-6584,3 Holy Cross Center,Karangora,,,Indonesia,8/13/2002,400,baguette,8/19/2021,4162.5
